date and time (UTC),image name,radiation
2017-07-19 22:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172002230379_e20172002241146_c20172002241193.nc,173.0
2017-07-19 22:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172002245379_e20172002256146_c20172002256192.nc,47.0
2017-07-19 23:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172002300379_e20172002311146_c20172002311191.nc,21.0
2017-07-19 23:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172002315379_e20172002326146_c20172002326192.nc,2.0
2017-07-20 11:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011100381_e20172011111148_c20172011111192.nc,2.0
2017-07-20 11:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011115381_e20172011126148_c20172011126197.nc,18.0
2017-07-20 11:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011130381_e20172011141148_c20172011141191.nc,66.0
2017-07-20 11:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011145381_e20172011156148_c20172011156193.nc,138.0
2017-07-20 12:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011200381_e20172011211148_c20172011211194.nc,199.0
2017-07-20 12:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011215381_e20172011226148_c20172011226192.nc,204.0
2017-07-20 12:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011230381_e20172011241148_c20172011241190.nc,284.0
2017-07-20 12:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011245381_e20172011256148_c20172011256193.nc,426.0
2017-07-20 13:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011300381_e20172011311148_c20172011311195.nc,381.0
2017-07-20 13:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011315381_e20172011326148_c20172011326193.nc,270.0
2017-07-20 13:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011330381_e20172011341148_c20172011341192.nc,497.0
2017-07-20 13:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011345381_e20172011356148_c20172011356195.nc,323.0
2017-07-20 14:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011400381_e20172011411148_c20172011411195.nc,386.0
2017-07-20 14:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011415381_e20172011426148_c20172011426192.nc,920.0
2017-07-20 14:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011430381_e20172011441148_c20172011441192.nc,1021.0
2017-07-20 14:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011445381_e20172011456148_c20172011456196.nc,619.0
2017-07-20 15:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011500381_e20172011511148_c20172011511191.nc,646.0
2017-07-20 15:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011515381_e20172011526148_c20172011526191.nc,629.0
2017-07-20 15:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011530381_e20172011541148_c20172011541192.nc,617.0
2017-07-20 15:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011545381_e20172011556148_c20172011556192.nc,513.0
2017-07-20 16:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011600381_e20172011611148_c20172011611192.nc,685.0
2017-07-20 16:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011615381_e20172011626148_c20172011626195.nc,630.0
2017-07-20 16:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011630381_e20172011641148_c20172011641191.nc,396.0
2017-07-20 16:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011645381_e20172011656148_c20172011656192.nc,367.0
2017-07-20 17:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011700381_e20172011711148_c20172011711190.nc,553.0
2017-07-20 17:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011715381_e20172011726148_c20172011726191.nc,469.0
2017-07-20 17:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011730381_e20172011741148_c20172011741191.nc,506.0
2017-07-20 17:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011745381_e20172011756148_c20172011756195.nc,652.0
2017-07-20 18:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011800378_e20172011811145_c20172011811191.nc,274.0
2017-07-20 18:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011815378_e20172011826145_c20172011826191.nc,345.0
2017-07-20 18:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011830378_e20172011841145_c20172011841191.nc,776.0
2017-07-20 18:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011845378_e20172011856145_c20172011856192.nc,446.0
2017-07-20 19:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011900378_e20172011911145_c20172011911188.nc,849.0
2017-07-20 19:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011915378_e20172011926145_c20172011926192.nc,377.0
2017-07-20 19:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011930378_e20172011941145_c20172011941191.nc,251.0
2017-07-20 19:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172011945378_e20172011956145_c20172011956193.nc,91.0
2017-07-20 20:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172012000378_e20172012011145_c20172012011191.nc,78.0
2017-07-20 20:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172012015378_e20172012026145_c20172012026192.nc,198.0
2017-07-20 20:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172012030378_e20172012041145_c20172012041190.nc,458.0
2017-07-20 20:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172012045378_e20172012056145_c20172012056191.nc,554.0
2017-07-20 21:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172012100378_e20172012111145_c20172012111189.nc,457.0
2017-07-20 21:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172012115378_e20172012126145_c20172012126190.nc,192.0
2017-07-20 21:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172012130378_e20172012141145_c20172012141191.nc,466.0
2017-07-20 21:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172012145378_e20172012156145_c20172012156194.nc,118.0
2017-07-20 22:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172012200378_e20172012211145_c20172012211191.nc,54.0
2017-07-20 22:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172012215378_e20172012226145_c20172012226190.nc,35.0
2017-07-20 22:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172012230378_e20172012241145_c20172012241191.nc,44.0
2017-07-20 22:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172012245378_e20172012256145_c20172012256195.nc,46.0
2017-07-20 23:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172012300378_e20172012311145_c20172012311191.nc,17.0
2017-07-20 23:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172012315378_e20172012326145_c20172012326192.nc,11.0
2017-07-21 11:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021100380_e20172021111147_c20172021111192.nc,3.0
2017-07-21 11:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021115380_e20172021126147_c20172021126194.nc,15.0
2017-07-21 11:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021130380_e20172021141147_c20172021141196.nc,75.0
2017-07-21 11:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021145380_e20172021156147_c20172021156191.nc,124.0
2017-07-21 12:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021200380_e20172021211147_c20172021211191.nc,186.0
2017-07-21 12:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021215380_e20172021226147_c20172021226192.nc,258.0
2017-07-21 12:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021230380_e20172021241147_c20172021241192.nc,335.0
2017-07-21 12:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021245380_e20172021256147_c20172021256193.nc,400.0
2017-07-21 13:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021300380_e20172021311147_c20172021311193.nc,460.0
2017-07-21 13:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021315380_e20172021326147_c20172021326193.nc,518.0
2017-07-21 13:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021330380_e20172021341147_c20172021341188.nc,577.0
